weight: 300, height: 300
(0, 0) : 43
(1, 0) : 32
(2, 0) : 21
(3, 0) : 9
(4, 0) : 123
(5, 0) : 111
(6, 0) : 98
(7, 0) : 85
(8, 0) : 72
(9, 0) : 58
(10, 0) : 44
(11, 0) : 29
(12, 0) : 13
(13, 0) : 122
(14, 0) : 105
(15, 0) : 88
(16, 0) : 70
(17, 0) : 51
(18, 0) : 32
(19, 0) : 13
(20, 0) : 118
(21, 0) : 97
(22, 0) : 77
(23, 0) : 56
(24, 0) : 34
(25, 0) : 12
(26, 0) : 116
(27, 0) : 94
(28, 0) : 71
(29, 0) : 49
(30, 0) : 27
(31, 0) : 5
(32, 0) : 108
(33, 0) : 86
(34, 0) : 64
(35, 0) : 43
(36, 0) : 22
(37, 0) : 1
(38, 0) : 106
(39, 0) : 86
(40, 0) : 67
(41, 0) : 48
(42, 0) : 30
(43, 0) : 12
(44, 0) : 121
(45, 0) : 104
(46, 0) : 89
(47, 0) : 74
(48, 0) : 61
(49, 0) : 48
(50, 0) : 36
(51, 0) : 25
(52, 0) : 14
(53, 0) : 5
(54, 0) : 121
(55, 0) : 114
(56, 0) : 107
(57, 0) : 102
(58, 0) : 97
(59, 0) : 93
(60, 0) : 91
(61, 0) : 89
(62, 0) : 88
(63, 0) : 88
(64, 0) : 89
(65, 0) : 91
(66, 0) : 93
(67, 0) : 97
(68, 0) : 101
(69, 0) : 106
(70, 0) : 112
(71, 0) : 118
(72, 0) : 0
(73, 0) : 8
(74, 0) : 17
(75, 0) : 26
(76, 0) : 35
(77, 0) : 46
(78, 0) : 56
(79, 0) : 67
(80, 0) : 78
(81, 0) : 90
(82, 0) : 102
(83, 0) : 114
(84, 0) : 2
(85, 0) : 14
(86, 0) : 27
(87, 0) : 40
(88, 0) : 53
(89, 0) : 66
(90, 0) : 79
(91, 0) : 92
(92, 0) : 105
(93, 0) : 117
(94, 0) : 5
(95, 0) : 18
(96, 0) : 31
(97, 0) : 43
(98, 0) : 56
(99, 0) : 69
(100, 0) : 81
(101, 0) : 94
(102, 0) : 106
(103, 0) : 119
(104, 0) : 6
(105, 0) : 19
(106, 0) : 32
(107, 0) : 45
(108, 0) : 58
(109, 0) : 72
(110, 0) : 85
(111, 0) : 99
(112, 0) : 112
(113, 0) : 1
(114, 0) : 15
(115, 0) : 29
(116, 0) : 43
(117, 0) : 58
(118, 0) : 72
(119, 0) : 86
(120, 0) : 101
(121, 0) : 115
(122, 0) : 4
(123, 0) : 18
(124, 0) : 33
(125, 0) : 47
(126, 0) : 61
(127, 0) : 74
(128, 0) : 88
(129, 0) : 101
(130, 0) : 114
(131, 0) : 2
(132, 0) : 15
(133, 0) : 27
(134, 0) : 39
(135, 0) : 51
(136, 0) : 62
(137, 0) : 73
(138, 0) : 84
(139, 0) : 94
(140, 0) : 104
(141, 0) : 113
(142, 0) : 122
(143, 0) : 6
(144, 0) : 14
(145, 0) : 21
(146, 0) : 28
(147, 0) : 35
(148, 0) : 41
(149, 0) : 46
(150, 0) : 51
(151, 0) : 56
(152, 0) : 60
(153, 0) : 63
(154, 0) : 66
(155, 0) : 69
(156, 0) : 71
(157, 0) : 73
(158, 0) : 74
(159, 0) : 75
(160, 0) : 75
(161, 0) : 75
(162, 0) : 74
(163, 0) : 74
(164, 0) : 73
(165, 0) : 71
(166, 0) : 69
(167, 0) : 67
(168, 0) : 65
(169, 0) : 62
(170, 0) : 60
(171, 0) : 57
(172, 0) : 54
(173, 0) : 50
(174, 0) : 47
(175, 0) : 44
(176, 0) : 40
(177, 0) : 37
(178, 0) : 33
(179, 0) : 29
(180, 0) : 26
(181, 0) : 23
(182, 0) : 19
(183, 0) : 16
(184, 0) : 13
(185, 0) : 10
(186, 0) : 7
(187, 0) : 4
(188, 0) : 2
(189, 0) : 124
(190, 0) : 122
(191, 0) : 120
(192, 0) : 119
(193, 0) : 117
(194, 0) : 116
(195, 0) : 114
(196, 0) : 113
(197, 0) : 112
(198, 0) : 112
(199, 0) : 111
(200, 0) : 110
(201, 0) : 109
(202, 0) : 108
(203, 0) : 108
(204, 0) : 106
(205, 0) : 105
(206, 0) : 103
(207, 0) : 101
(208, 0) : 99
(209, 0) : 96
(210, 0) : 92
(211, 0) : 88
(212, 0) : 84
(213, 0) : 79
(214, 0) : 74
(215, 0) : 68
(216, 0) : 62
(217, 0) : 55
(218, 0) : 48
(219, 0) : 40
(220, 0) : 32
(221, 0) : 23
(222, 0) : 14
(223, 0) : 4
(224, 0) : 119
(225, 0) : 109
(226, 0) : 98
(227, 0) : 87
(228, 0) : 76
(229, 0) : 64
(230, 0) : 52
(231, 0) : 40
(232, 0) : 28
(233, 0) : 16
(234, 0) : 4
(235, 0) : 116
(236, 0) : 104
(237, 0) : 92
(238, 0) : 79
(239, 0) : 67
(240, 0) : 55
(241, 0) : 43
(242, 0) : 31
(243, 0) : 20
(244, 0) : 9
(245, 0) : 123
(246, 0) : 112
(247, 0) : 102
(248, 0) : 92
(249, 0) : 82
(250, 0) : 73
(251, 0) : 64
(252, 0) : 56
(253, 0) : 48
(254, 0) : 41
(255, 0) : 34
(256, 0) : 28
(257, 0) : 22
(258, 0) : 17
(259, 0) : 13
(260, 0) : 9
(261, 0) : 5
(262, 0) : 3
(263, 0) : 0
(264, 0) : 124
(265, 0) : 123
(266, 0) : 123
(267, 0) : 123
(268, 0) : 124
(269, 0) : 0
(270, 0) : 2
(271, 0) : 5
(272, 0) : 8
(273, 0) : 12
(274, 0) : 16
(275, 0) : 21
(276, 0) : 26
(277, 0) : 32
(278, 0) : 38
(279, 0) : 44
(280, 0) : 52
(281, 0) : 59
(282, 0) : 67
(283, 0) : 75
(284, 0) : 84
(285, 0) : 93
(286, 0) : 102
(287, 0) : 111
(288, 0) : 121
(289, 0) : 6
(290, 0) : 16
(291, 0) : 27
(292, 0) : 37
(293, 0) : 48
(294, 0) : 59
(295, 0) : 69
(296, 0) : 80
(297, 0) : 91
(298, 0) : 102
(299, 0) : 113
(0, 1) : 43
(1, 1) : 32
(2, 1) : 21
(3, 1) : 9
(4, 1) : 123
(5, 1) : 111
(6, 1) : 98
(7, 1) : 85
(8, 1) : 72
(9, 1) : 58
(10, 1) : 44
(11, 1) : 29
(12, 1) : 13
(13, 1) : 122
(14, 1) : 105
(15, 1) : 88
(16, 1) : 70
(17, 1) : 51
(18, 1) : 32
(19, 1) : 13
(20, 1) : 118
(21, 1) : 97
(22, 1) : 77
(23, 1) : 56
(24, 1) : 34
(25, 1) : 12
(26, 1) : 116
(27, 1) : 94
(28, 1) : 71
(29, 1) : 49
(30, 1) : 27
(31, 1) : 5
(32, 1) : 108
(33, 1) : 86
(34, 1) : 64
(35, 1) : 43
(36, 1) : 22
(37, 1) : 1
(38, 1) : 106
(39, 1) : 86
(40, 1) : 67
(41, 1) : 48
(42, 1) : 30
(43, 1) : 12
(44, 1) : 121
(45, 1) : 104
(46, 1) : 89
(47, 1) : 74
(48, 1) : 61
(49, 1) : 48
(50, 1) : 36
(51, 1) : 25
(52, 1) : 14
(53, 1) : 5
(54, 1) : 121
(55, 1) : 114
(56, 1) : 107
(57, 1) : 102
(58, 1) : 97
(59, 1) : 93
(60, 1) : 91
(61, 1) : 89
(62, 1) : 88
(63, 1) : 88
(64, 1) : 89
(65, 1) : 91
(66, 1) : 93
(67, 1) : 97
(68, 1) : 101
(69, 1) : 106
(70, 1) : 112
(71, 1) : 118
(72, 1) : 1
(73, 1) : 8
(74, 1) : 17
(75, 1) : 26
(76, 1) : 35
(77, 1) : 46
(78, 1) : 56
(79, 1) : 67
(80, 1) : 78
(81, 1) : 90
(82, 1) : 102
(83, 1) : 114
